Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,EIA,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species density,,,,,,,,,,
,Freshwater ecosystem,,,,,,,,,,
TD-00502,"Radhakrishnan, P.",2002,"Studies on the time-activity budgets of Little Egret (Egretta garzetta) at Tranquebar coast, Tamilnadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",24,M.Sc.,TD-00502,Activity pattern,
,Egretta garzetta,,,,,,,,,,
,Behavioural context,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
TD-00503,"Ali, A. M. S.",2003,"Nest characteristics, nest-site selection, nestling growth and prey delivery pattern to nestlings in the Baya Weaver (Ploceus philippinus)",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",36,M.Sc.,TD-00503,Nest characteristics,
,Nest-site selection,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Ploceus philippinus,,,,,,,,,,
,Nest architecture,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nest location,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Food provisioning,,,,,,,,,,
,Parental care,,,,,,,,,,
TD-00504,"Rethinagiri, U.",2003,Studies on diversity of birds in a social forestry system in and around Mannampandal,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",39,M.Sc.,TD-00504,Species diversity,
,Population density,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Foraging height,,,,,,,,,,
,Guilds,,,,,,,,,,
TD-00505,"Revathi, G.",2003,"Studies on the population and time activity pattern of the Common Myna, Acridotheres tristis in a social forest",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",16,M.Sc.,TD-00505,Activity pattern,
,Population estimation,,,,,,,,,,
,Acridotheres tristis,,,,,,,,,,
,Population density,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Vegetation structure,,,,,,,,,,
,Coexistence,,,,,,,,,,
TD-00506,"Kannan, S. V.",2003,"Studies on the nesting and foraging behaviour of Lesser Golden-backed Woodpecker, Dinopium benghalense (Linnaeus)",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",24,M.Sc.,TD-00506,Nesting biology,
,Foraging behaviour,,,,,,,,,,
,Dinopium benghalense,,,,,,,,,,
,Nest location,,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Foraging height,,,,,,,,,,
,Insectivores,,,,,,,,,,
TD-00507,"Kalaimani, M.",2002,"Studies on the time-activity budgets of Cattle Egret (Bubulcus ibis) at Poraiyar and Kozhaiyur, Tamil Nadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",26,M.Sc.,TD-00507,Activity pattern,
,Bubulcus ibis,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
TD-00508,"Kamalesh, J. D. A.",2006,Studies on avian diversity in Koddayampalayam area near Pichavaram mangrove,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",27,M.Sc.,TD-00508,Agricultural lands,
,Mangrove ecosystem,,,,,,,,,,
,Mudflats,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Passeriformes,,,,,,,,,,
,Columbiformes,,,,,,,,,,
,Psittaciformes,,,,,,,,,,
,Coraciformes,,,,,,,,,,
,Charadriiformes,,,,,,,,,,
,Falconiformes,,,,,,,,,,
,Ciconiiformes,,,,,,,,,,
TD-00509,"Muthamizhselvan, K.",2006,"Studies on the patterns of abundance and diversity of the bird community of Southern Western Ghats, Kerala",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",57,M.Sc.,TD-00509,Community structure,
,Species composition,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Population status,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Endemic species,,,,,,,,,,
,Species density,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Guilds,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat classification,,,,,,,,,,
,Microhabitat,,,,,,,,,,
TD-00510,"Sridevi, K.",2004,Patch utilization patterns of Common Babbler Turdoides caudatus (Dumont) in an agro ecosystem at Cauvery delta,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",24,M.Sc.,TD-00510,Turdoides caudatus,
,Patch size,,,,,,,,,,
,Habitat usage,,,,,,,,,,
,Flock size,,,,,,,,,,
,Flocking behaviour,,,,,,,,,,
,Riverine areas,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Foraging substrate,,,,,,,,,,
,Patch dynamics,,,,,,,,,,
,Foraging efficiency,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
TD-00511,"Gayathiri, P.",2005,The structural feathers of Peacock (Pavo cristatus) feathers,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",22,M.Sc.,TD-00511,Tail length,
,Tail morphometry,,,,,,,,,,
,Feather characteristics,,,,,,,,,,
,Feather morphology,,,,,,,,,,
TD-00512,"Jahadeeswari, S.",2005,Studies on the Common Babbler Turdoides caudatus with reference to its population and foraging behaviour in and around Kuttalam village,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",15,M.Sc.,TD-00512,Population density,
,Population estimation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Foraging height,,,,,,,,,,
TD-00513,"Nath, A.",2011,"Population of House Sparrow (Passer domesticus) and Eurasian Tree Sparrow (Passer montanus) and roosting behaviour, nesting characteristic features and behavioural observations of House Sparrow in Silchar town, Assam, Northeast India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",43,M.Sc.,TD-00513,Passer domesticus,
,Passer montanus,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Species density,,,,,,,,,,
,House Crow,,,,,,,,,,
,Common Myna,,,,,,,,,,
,Bird call,,,,,,,,,,
,Intraspecific interaction,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Nest site selection,,,,,,,,,,
TD-00514,"Gokulakkannan, N.",2009,"Ecology of water birds in Muniyappan lake at Point Calimere wildlife & bird sanctuary, Tamil Nadu",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",34,M.Sc.,TD-00514,Population estimation,
,Species diversity,,,,,,,,,,
,Species density,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Wetland birds,,,,,,,,,,
TD-00515,"Chandru, G.",1995,"Population, habitat utilization and foraging behaviour of some birds of agriculture importance in and around Mannampandal",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",28,M.Sc.,TD-00515,Habitat use,
,Foraging behaviour,,,,,,,,,,
,Bee-eaters,,,,,,,,,,
,Drongos,,,,,,,,,,
,White-breasted Kingfisher,,,,,,,,,,
,Blue Jay,,,,,,,,,,
,Warblers,,,,,,,,,,
,Pond Heron,,,,,,,,,,
,Pied Wagtail,,,,,,,,,,
,Common Myna,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Foraging height,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Niche breadth,,,,,,,,,,
TD-00516,"Manikandan, S.",2009,"Ecology and behaviour of Indian Blue Peafowl, Pavo cristatus in Nagapattinam and Thiruvarur districts",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",26,M.Sc.,TD-00516,Species distribution,
,Activity pattern,,,,,,,,,,
,Roost site selection,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Granivore,,,,,,,,,,
,Diet analysis,,,,,,,,,,
TD-00517,"Amudha, P.",1995,Studies on the pellets of communal roosting Bhraminy Kites (Haliastur indus) in Cauvery delta,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",20,M.Sc.,TD-00517,Pellet analysis,
,Communal roosting,,,,,,,,,,
,Haliastur indus,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Prey composition,,,,,,,,,,
TD-00518,"Srinivasan, K.",2009,"Feeding tactics of the Kentish Plover (Charadrius alexandrinus) in the Point Calimere wildlife & birds sanctuary, Tamil Nadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",30,M.Sc.,TD-00518,Charadrius alexandrinus,
,Bird communities,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species density,,,,,,,,,,
,Species richness,,,,,,,,,,
,Prey selection,,,,,,,,,,
TD-00519,"Surender, G.",2010,"Studies on avifaunal diversity of Sathyamangalam wildlife sanctuary, Tamilnadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",23,M.Sc.,TD-00519,Bird communities,
,Species diversity,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Species density,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat classification,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Tropical hill forest,,,,,,,,,,
,Dry deciduious forest,,,,,,,,,,
,Shola forest,,,,,,,,,,
,Guild analysis,,,,,,,,,,
,Guilds,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Vegetation structure,,,,,,,,,,
,Bird conservation,,,,,,,,,,
TD-00520,"Suresh, R.",2010,"Population of avifauna in the tropical forests of Hosur forest division in Tamilnadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",49,M.Sc.,TD-00520,habitat classification,
,Dry deciduious forest,,,,,,,,,,
,Mixed deciduous forest,,,,,,,,,,
,Dry thorn forest,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Species density,,,,,,,,,,
,Population density,,,,,,,,,,
,Species richness,,,,,,,,,,
,Flock size,,,,,,,,,,
TD-00521,"Ramesh, J.",1993,"Studies on the ecology of Indian Peafowl Pavo cristatus at district live stock farm, Machuvadi, Pudukottai, Tamil Nadu, South India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",22,M.Sc.,TD-00521,Pavo cristatus,
,Population estimation,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Population status,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Granivore,,,,,,,,,,
,Roost characteristics,,,,,,,,,,
,Roost count,,,,,,,,,,
TD-00522,"Manimozhi, K.",1997,Haematological and histological studies in the Black Drongo (Dicrurus adsimilis),A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",17,M.Sc.,TD-00522,Haematological parameter,
,Haemoglobin,,,,,,,,,,
,Blood glucose,,,,,,,,,,
,Dicrurus adsimilis,,,,,,,,,,
,RBCs,,,,,,,,,,
,Red blood cells,,,,,,,,,,
,Histopathology,,,,,,,,,,
,Histology,,,,,,,,,,
TD-00523,"Jeevanantham, K.",1998,Studies of the roosting behaviour in the Mynah Acridotheres tristis,A.V.C. College,A.V.C. College,"Bharathidasan University, Thiruchirapalli",14,M.Sc.,TD-00523,Acridotheres tristis,
,Roosting behaviour,,,,,,,,,,
,Roost characteristics,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Foraging height,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Interspecific associations,,,,,,,,,,
,Food habits,,,,,,,,,,
,Insectivores,,,,,,,,,,
TD-00524,"Balamurugan, K.",1998,"A comparative study on the foraging behaviour of the Little Cormorant Phalacrocorax niger, the Dabchick Podiceps ruficollis and the Common Coot Fulica atra",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",19,M.Sc.,TD-00524,Phalacrocorax niger,
,Podiceps ruficollis,,,,,,,,,,
,Fulica atra,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Food availability,,,,,,,,,,
,Prey selection,,,,,,,,,,
TD-00525,"Shanmugapriya, R.",2000,"Studies on the avifauna of the sesame cultivated fields in Mannampandal area of Mayiladuthurai taluk, Nagai district, Tamil Nadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",18,M.Sc.,TD-00525,Bird studies,
,Bird communities,,,,,,,,,,
,Granivore,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Food habits,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Small Green Bee-eater,,,,,,,,,,
,Black Drongo,,,,,,,,,,
,Insectivores,,,,,,,,,,
,House Crow,,,,,,,,,,
,Rose-ringed Parakeet,,,,,,,,,,
,Weaver bird,,,,,,,,,,
,Common Babbler,,,,,,,,,,
,Common Myna,,,,,,,,,,
TD-00526,"Murugesan, J.",2001,"Studies on population and foraging behaviour of Purple Sunbird (Nectarinia asiatica) at A.V.C. college campus, Mannampandal",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",21,M.Sc.,TD-00526,Nectarinia asiatica,
,Population estimation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Nectarivores,,,,,,,,,,
,Coexistence,,,,,,,,,,
,Coevolution,,,,,,,,,,
TD-00527,"Meganathan, T.",2002,"A survey of avian diversity in selected inland lakes of Cuddalore, Thiruvarur, Nagaipattinam and Thanjavur districts of Tamil Nadu, Southern India and an assessment of threats to their conservation including socio-economic factors in the surrounding villages",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",100,M.Sc.,TD-00527,Wetland ecosystem,
,Species diversity,,,,,,,,,,
,Socio-economics,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Veeranam lake,,,,,,,,,,
,Wellington lake,,,,,,,,,,
,Perumal lake,,,,,,,,,,
,Vaduvoor lake,,,,,,,,,,
,Uthayamarthandapuram lake,,,,,,,,,,
,Kallaperambur lake,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Poaching,,,,,,,,,,
,Fishing,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Grazing,,,,,,,,,,
,Fuelwood extraction,,,,,,,,,,
,Pollution,,,,,,,,,,
,Bird conservation,,,,,,,,,,
,Conservation planning,,,,,,,,,,
TD-00528,"Thamizhazhagan, E.",2003,Roosting and feeding behaviour of Spotted Owlet (Athene brama brama) in and around Mannampandal,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",14,M.Sc.,TD-00528,Athene brama,
,Foraging behaviour,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Food availability,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Roost characteristics,,,,,,,,,,
TD-00529,"Menaka, M.",2003,Diversity of birds in an agro-ecosystem in and around Mannampandal,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",28,M.Sc.,TD-00529,Bird studies,
,Agro-ecosystem,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Population density,,,,,,,,,,
,Species richness,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
TD-00530,"Bakkiyalakshmi, M.",2003,Population characteristics of birds in different habitats of Mayiladuthurai,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",12,M.Sc.,TD-00530,Species density,
,Species richness,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Habitat diversity,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Agricultural land,,,,,,,,,,
,Human habitations,,,,,,,,,,
TD-00531,"Ramesh, S.",2003,Roost selection by southern Spotted Owlet Athene brama brama (Temminck) in and around Mannampandal,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",15,M.Sc.,TD-00531,Athene brama,
,Roost site selection,,,,,,,,,,
,Agricultural land,,,,,,,,,,
,Human habitations,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Food availability,,,,,,,,,,
,Canopy characteristics,,,,,,,,,,
TD-00532,"Vijayalakshmi, R.",2005,Diversity of birds in different habitats in and around Mayiladuthurai,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",27,M.Sc.,TD-00532,Species diversity,
,Agricultural lands,,,,,,,,,,
,Riverbanks,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Bird survey,,,,,,,,,,
,habitat classification,,,,,,,,,,
,Habitat diversity,,,,,,,,,,
,Vegetation characteristics,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Plant-animal interactions,,,,,,,,,,
TD-00533,"Rameshkumar, C.",2005,Studies on avian population density and species diversity in selected habitats in and around Mayiladuthurai,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",,M.Sc.,TD-00533,Population density,
,Species diversity,,,,,,,,,,
,Species density,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Riverbanks,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Vegetation characteristics,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Plant-animal interactions,,,,,,,,,,
TD-00534,"Kalaimathi, K.",2005,The role of granivorous birds in crop damages at Vaitheeswaran koil village,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",11,M.Sc.,TD-00534,Passer domesticus,
,Lonchura malacca,,,,,,,,,,
,Ploceus philippinus,,,,,,,,,,
,Psittacula krameri,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Black-headed Munia,,,,,,,,,,
,Baya Weaver,,,,,,,,,,
,Rose-ringed Parakeet,,,,,,,,,,
,Granivores,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Crop pest,,,,,,,,,,
TD-00535,"Sudha, M.",2006,"Studies on avian diversity in Arrupathi lake, near Mayiladuthurai",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",22,M.Sc.,TD-00535,Species diversity,
,Bird studies,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Food availability,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Bird communities,,,,,,,,,,
TD-00536,"Rajapriya, P.",2006,A survey of the Shed Peacock (Pavo cristatus) feather collection by villagers,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",32,M.Sc.,TD-00536,Pavo cristatus,
,Feather collection,,,,,,,,,,
TD-00537,"Thillaigovindarajan, K.",2008,"Study on the nesting characteristics of some birds at Arupathy, Traquebar taluk, Nagapattinam district",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",36,M.Sc.,TD-00537,Nest characteristics,
,Passer domesticus,,,,,,,,,,
,Acridotheres tristis,,,,,,,,,,
,Dicrurus macrocercus,,,,,,,,,,
,Copsychus saularis,,,,,,,,,,
,Coracias benghalensis,,,,,,,,,,
,Haliastur indus,,,,,,,,,,
,Corvus macrorhynchos,,,,,,,,,,
,Upupa epops,,,,,,,,,,
,Nest location,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Colonial nesting,,,,,,,,,,
,Solitary nesting,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Species density,,,,,,,,,,
,Vegetation characteristics,,,,,,,,,,
TD-00538,"Kumar, C.",2011,"Roost site selection of Spotted Owlet (Athene brama brama) in and around A.V.C. College, Mannampandal",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",14,M.Sc.,TD-00538,Athene brama,
,Roost site selection,,,,,,,,,,
,Solitary roost,,,,,,,,,,
,Roost characteristics,,,,,,,,,,
,Activity pattern,,,,,,,,,,
TD-00539,"Elakkiya, C.",2012,"Studies on population and foraging behaviour of Common Babbler (Turdoides caudata) in around Koothanur, Tiruvarur district, Tamil Nadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",17,M.Sc.,TD-00539,Population estimation,
,Turdoides caudata,,,,,,,,,,
,Common Babbler,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Grassland habitat,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,habitat classification,,,,,,,,,,
TD-00540,"Sangeetha, K.",2011,"Studies on population and habitat utilization of Rose-ringed Parakeet (Psittacula krameri) in around Mannampandal, Nagapattinam district, Tamil Nadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",18,M.Sc.,TD-00540,Psittacula krameri,
,Habitat use,,,,,,,,,,
,Population status,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Behavioural context,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Granivore,,,,,,,,,,
,Habitat classification,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Crop pest,,,,,,,,,,
,Illegal trade,,,,,,,,,,
,Pet trade,,,,,,,,,,
TD-00541,"Kalaimani, A.",2011,"Population status of Yellow-throated Bulbul Pycnonotus xantholaemus (Jerdon, 1845) in Gingee range, Villupuram district, Tamil Nadu, South India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",20,M.Sc.,TD-00541,Pycnonotus xantholaemus,
,Population status,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Scrub jungle,,,,,,,,,,
,Elevational pattern,,,,,,,,,,
,Altitudinal distribution,,,,,,,,,,
,Bird studies,,,,,,,,,,
TD-00542,"Krishnaraja, S.",2011,"Studies on avian diversity in selected habitats in Kilinjalmedu, Kezhakaasakudimedu and Kottucherymedu at Karaikal",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",26,M.Sc.,TD-00542,Species diversity,
,Karaikal,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Plantation,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
TD-00543,"Kalaichelvan, K.",2013,"Survey of avifauna in the waterbodies at Kottucherrymedu, Karaikal, Puducherry union territory",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",40,M.Sc.,TD-00543,Karaikal,
,Bird studies,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Agroforestry plantation,,,,,,,,,,
,Casuarina tree,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Species richness,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Species diversity,,,,,,,,,,
TD-00544,"Rajasundari, R.",2012,Knots used in the nesting architecture by Baya Weaver birds (Ploceus philippinus),A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",20,M.Sc.,TD-00544,Ploceus philippinus,
,Nest architecture,,,,,,,,,,
,Weaver bird,,,,,,,,,,
,Weaver nest,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
TD-00545,"Eswari, R.",2012,"Studies on the avian diversity at Moovalur panchayat, Mayiladuthurai, Nagapattinam district, Tamilnadu, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",53,M.Sc.,TD-00545,Bird studies,
,Bird abundance,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Agricultural land,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Generalized linear model,,,,,,,,,,
,habitat classification,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Habitat preference,,,,,,,,,,
TD-00546,"Ashok kumar, B.",2012,"An assessment of avian diversity in agricultural field of Kottucherymedu at Karaikal, Puducherry union territory",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",30,M.Sc.,TD-00546,Agricultural lands,
,Karaikal,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Food habits,,,,,,,,,,
TD-00547,"Porkodi, P.",2012,"A preliminary survey of bird diversity in the paddy fields of Achudhamancalam village, Thiruvarur district",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",21,M.Sc.,TD-00547,Bird survey,
,Bird studies,,,,,,,,,,
,Bird abundance,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Guilds,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Species conservation,,,,,,,,,,
,Conservation planning,,,,,,,,,,
TD-00548,"Karthick, V.",2012,"An assessment of avian diverstiy in selected habitats of Kottuchery, at Karaikal, Puduchery",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",30,M.Sc.,TD-00548,Agroforestry plantation,
,Casuarina plantation,,,,,,,,,,
,Karaikal,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Guilds,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Food habits,,,,,,,,,,
TD-00549,"Jayabalan, J. A.",1997,"Breeding ecology of Brahminy Kite Haliastur indus in Cauvery delta, South India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",97,Ph.D.,TD-00549,Haliastur indus,
,Cauvery delta,,,,,,,,,,
,Biodiversity mapping,,,,,,,,,,
,Species density,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Nest location,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Riverine areas,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Parental care,,,,,,,,,,
,Food provisioning,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Human habitations,,,,,,,,,,
,Importance value index,,,,,,,,,,
,Nest location,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Food availability,,,,,,,,,,
,Parental investment,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Bird conservation,,,,,,,,,,
TD-00550,"Sumathi, T.",2008,"Factors influencing the waterbird populations with special emphasis on the Greater Flamingo (Phoenicopterus ruber roseus Pallas 1811) in the eastern parts of the great Vedaranyam swamp, Point Calimere wildlife and bird sanctuary, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",219,Ph.D.,TD-00550,Phoenicopterus ruber roseus,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Planktons,,,,,,,,,,
