Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Western Ghats (Central),,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species dominance,,,,,,,,,,
,Migration,,,,,,,,,,
,Threatened species,,,,,,,,,,
TD-00035,"Sridharan, N.",2006,"Status of wetlands and wetland birds in Kanyakumari, Thanjavur, Cuddalore and Nagaipattinam districts in Tamilnadu",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,TD-00035,Wetland birds,
,Coromandel Coast,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Migration,,,,,,,,,,
,Colonial breeders,,,,,,,,,,
,Habitat loss,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
TD-00036,"Anitha, D.",2007,"An assessment of the status of the Black-and-orange Flycatcher in the upper Nilgiris, Western Ghats",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00036,Flycatchers,
,Ficedula nigrorufa,,,,,,,,,,
,Muscicapidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Landscape ecology ,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Endemism,,,,,,,,,,
,Sexual dimorphism,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
TD-00037,"Deivanayaki, M.",2007,"Status of wetland birds in Coimbatore district, Tamilnadu",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00037,Wetland birds,
,Western Ghats (Central),,,,,,,,,,
,Wetlands,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Landscape ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species dominance,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
,Migration,,,,,,,,,,
TD-00038,"Kumar, N. V.",2008,"Bird community structure in the upper Nilgiris, Western Ghats",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00038,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Vegetation,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
TD-00039,"Antony, P. M.",2008,"Status, population and ecology of the Black Kite Milvus migrans in Coimbatore, Tamilnadu",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,TD-00039,Raptors,
,Milvus migrans,,,,,,,,,,
,Accipitridae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Rural ecosystem,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Mixed roosting colonies,,,,,,,,,,
TD-00040,"Kumar, R. S.",2009,"Ecological and toxicological investigations on select species of waterfowl in Koonthankulam Bird Sanctuary, Tamilnadu",,,,,M.Sc.,TD-00040,Waterfowl,
,Coromandel Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Bird population,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Breeding success,,,,,,,,,,
TD-00041,"Kurian, K. J.",2005,"A preliminary study on the ecology of Bulbuls in the Anaikatty reserve forest, Coimbatore",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00041,Bulbuls,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Food availability,,,,,,,,,,
,Foraging maneuver,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00042,"Kumar, N. R.",2005,"Ecology and habitat utilization by the Indian Peafowl Pavo cristatus Linn. in Anaikatty hills, Western Ghats",PSG College of Arts and Science,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00042,Galliformes,
,Pavo cristatus,,,,,,,,,,
,Phasianidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Woodlands,,,,,,,,,,
,Forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Flagship species,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Foraging behaviour ,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
TD-00043,"Nemana, S.",2013,"Avifaunal diversity in Acacia auriculiformis plantations near Peppara Wildlife Sanctuary, Agasthyamalai Biosphere Reserve, Kerala",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Guru Gobindsingh Indraprastha University, New Delhi",,M.Sc.,TD-00043,Landbirds,
,Western Ghats (South),,,,,,,,,,
,Plantation forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Landscape ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Exclusive species,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
TD-00044,"Jagadeesan, R.",2013,"Assessment of bird community structure in selected plantations with special reference to breeding birds in Theni forest division, Western Ghats, south India",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,TD-00044,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Avian biogeography,,,,,,,,,,
,Community composition,,,,,,,,,,
,Vegetation ,,,,,,,,,,
,Point Centered Quarter method,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
TD-00045,"Suganya, R.",2008,"An investigation on the accumulation pattern of polychlorinated biphenyls (PCBs)in Blue Rock Pigeon (Columba livia) collected from Ahmedabad, Gujarat",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"PSGR Krishnammal College for Women, Coimbatore",,M.Sc.,TD-00045,Doves & Pigeons,
,Columba livia,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Polychlorinated biphenyls ,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Chromatographic techniques,,,,,,,,,,
TD-00046,"Umamageswaran, P. V.",2007,Polycyclic aromatic hydrocarbons (PAHs) in the tissues of Pariah Kite and Blue Rock Pigeon collected from Ahmedabad,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"PSG College of Arts and Science, Coimbatore",,M.Sc.,TD-00046,Raptors,
,Doves & Pigeons,,,,,,,,,,
,Columba livia,,,,,,,,,,
,Milvus migrans,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Accipitridae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Polycyclic aromatic hydrocarbons,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Chemical toxicity,,,,,,,,,,
